Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,QGE613,QGE614,QGE615,QGE637,QGE638,QGE639,QGE661,QGE662,QGE663,QGE742,QGE743,QGE744,QGE760,QGE761,QGE762,QGE685,QGE686,QGE687,QGE621,QGE622,QGE623,QGE645,QGE646,QGE647,QGE669,QGE670,QGE671,QGE748,QGE749,QGE750,QGE766,QGE767,QGE768,QGE693,QGE694,QGE695
283.0975612,17,16,4,0,0,0,0,0,CHO,Lignin,284.1048377,0.074976482,1,17143422,19029390,19009128,25059348,30696416,28707668,40701140,32309304,30202624,37245256,44609188,37955956,37868468,34196436,37163948,65204712,41187528,44044840,28723026,21205800,24548982,27014376,25842392,28764054,32833466,29058802,29427458,32242194,36036736,40005096,33155018,34504440,31187720,32462886,35860112,33765840
283.1089244,0,0,0,0,0,0,0,0,,None,284.1162009,0,0,0,0,6862433,0,0,6698829.5,7336137,8103980,0,7792942,9942664,8462681,7510938.5,6682555,6670225.5,9353691,8138932,9155099,8515403,6834977.5,10597999,0,0,7152528,7120813,0,0,7275000.5,8319075.5,7503311.5,0,7336669.5,0,6624281,6869633,7532993.5
283.1105355,14,21,4,0,0,0,1,0,CHOP,Lipid,284.1178119,-0.233208563,1,22349432,18482566,21749344,21995534,19448796,25885516,0,0,0,0,0,0,0,0,0,0,0,0,41912140,36360992,52323952,11582687,23700172,21370768,0,0,0,0,0,0,0,0,0,0,0,0
283.1186053,0,0,0,0,0,0,0,0,,None,284.1258818,0,0,34543220,53286276,46321244,45019144,46154716,42924872,44321980,48767008,55286504,49074456,51195508,46344516,58561412,51932068,55530364,67432912,55040164,63345168,74753864,62042908,43763304,61129944,50541252,49928076,58064800,58189528,59766504,52345316,52691020,56454584,53139348,47668936,47129300,50542604,51981940,46963128
283.1300511,0,0,0,0,0,0,0,0,,None,284.1373276,0,0,34895468,39466364,39636564,37564420,42714072,38460228,42740912,37339156,41081564,19751168,24759896,25045288,29324142,26160010,29107042,29045186,23951506,26866178,49317692,45150996,36906596,40625360,40612540,39221124,45653908,42247880,39171804,36960712,38240304,43429280,32429944,31563438,26096312,32356352,29728360,27019688
283.1340752,0,0,0,0,0,0,0,0,,None,284.1413516,0,0,0,0,0,0,0,0,7754924.5,0,0,7340278.5,8791631,7841055,7642981,6985602,7943001,14283198,9367692,9159165,6275898.5,0,6284897.5,0,0,7095170,0,0,0,0,6720548,6988183,6645613,8232613,0,6511610.5,8375908,7529892
283.1373627,15,24,3,0,0,1,0,0,CHOS,Lipid,284.1446392,-0.083956838,1,0,0,0,0,0,0,0,9517069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283.1411744,12,20,4,4,0,0,0,0,CHON,Protein,284.1484508,0.01513803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7646006,0,7439965.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283.1450715,0,0,0,0,0,0,0,0,,None,284.1523479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6492593.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283.1551873,0,0,0,0,0,0,0,0,,None,284.1624637,0,0,15480417,25744748,22355524,22269940,19592142,19708726,25341076,24063992,28543676,21831880,26861086,21641454,27747128,24963922,24916778,45478308,27666538,33403364,56895276,35902212,43550292,35423424,35050148,28378998,24317814,24442538,23770812,25905552,24215534,25955688,24885048,21278326,19554938,21792736,23866956,20273546
283.1663134,14,24,4,2,0,0,0,0,CHON,Lipid,284.1735899,0.061186705,1,0,0,0,0,0,0,0,0,0,0,0,0,6503201,0,0,8253849,0,6978006.5,6867749,0,0,0,0,0,0,0,6593198.5,0,7018450.5,0,0,0,0,0,0,0
283.191524,16,28,4,0,0,0,0,0,CHO,Lipid,284.1988005,-0.144642233,1,6762062,11191639,9711151,8192992,0,9835298,10833003,11427793,8943250,11149431,16326092,10467482,12616427,11877119,11045592,24650108,13293616,11821497,29796116,14924527,33162818,15201446,10037894,12441442,9420619,10012284,9289360,9574718,12416914,11744534,10862299,9082404,9525792,10260404,10640929,8555871
283.2277691,0,0,0,0,0,0,0,0,,None,284.2350456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6453586.5,0,0,0,0,10735150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283.2643531,0,0,0,0,0,0,0,0,,None,284.2716296,0,0,7963176.5,0,11734529,10409911,12047275,13806332,24628248,15112064,15368763,25489366,167496992,31762416,24584784,18545242,19751476,58323240,21821372,36467040,59778788,47739588,244909600,14744691,12825157,15537978,13405940,12598818,9684536,23505050,26595034,46025840,16272929,15175040,10626412,22316892,25038284,18192648
